area_nombre,tema_nombre,pregunta,sustento
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Según el artículo, ¿cuál fue la reducción porcentual de la superficie forestal entre 1900 y 1960 y cómo se compara con la pérdida de cobertura forestal entre 1990 y 2020?","El párrafo sobre la colonización española indica que la superficie forestal pasó de 4,9 millones a 3,9 millones de hectáreas entre 1900 y 1960, lo que corresponde a una reducción del 20 % (INE, 2021). En el resumen y 10 la sección de impactos climáticos se menciona que la pérdida de cobertura forestal entre 1990 y 2020 fue de aproximadamente el 15 % (datos satelitales)."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Del análisis presentado se desprende que, ¿cuáles son los problemas identificados que el artículo señala como consecuencias de la deforestación en los Andes bolivianos?","La sección “Impactos climáticos y retroalimentaciones” indica que la deforestación ha generado un aumento de la temperatura media de 0,6 °C, una mayor variabilidad de precipitaciones con sequías más intensas, una disminución de la capacidad del suelo para retener agua y un aumento de emisiones de CO2 (≈ 12 MtCO2 /año entre 2000‑2015) debido a la quema forestal."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Del análisis presentado se desprende que, en la cadena de procesos que relaciona la deforestación con el aumento de la temperatura en los Andes bolivianos, ¿cuál es el primer factor técnico mencionado?","En la sección “Industrialización y políticas de desarrollo en el siglo XX” se describe el modelo de balance energético: “La reducción del albedo (reflectancia de la superficie) y la pérdida de la transpiración vegetal disminuyen el flujo de energía latente, aumentando la temperatura de la superficie”. El texto menciona primero la reducción del albedo como factor que desencadena la cadena de efectos que lleva al aumento de la temperatura."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"La lectura del texto permite identificar que, entre 1990 y 2020, la pérdida de cobertura forestal en los Andes bolivianos fue aproximadamente del 15 % y el aumento de la temperatura media fue de 0,6 °C.","Los datos explícitos del artículo indican que la pérdida de cobertura forestal entre 1990 y 2020 fue de aproximadamente 15 %, y en la sección “Impactos climáticos y retroalimentaciones” se reporta un incremento de la temperatura media de 0,6 °C para el mismo período."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"A partir de lo expuesto en el artículo, ¿qué proceso técnico se ve incrementado directamente por la reducción del calor latente (LE) tras la pérdida de bosques, contribuyendo al aumento de la temperatura del aire?","La disminución del LE al perderse los bosques eleva el H y, por ende, la temperatura del aire” (Gómez et al., 2020). Esto muestra que la reducción del calor latente provoca un aumento del calor sensible, que es el proceso técnico directamente involucrado en el calentamiento del aire."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Del análisis presentado se desprende que, ¿cuál de los siguientes conjuntos de actores se menciona en el artículo como participantes tanto en la causa histórica de la deforestación como en las respuestas actuales al problema?","El artículo menciona explícitamente a los pueblos originarios (Aymara y Guaraní) en la sección “Los Andes antes del contacto europeo”, a los colonizadores españoles en “La colonización española y la expansión agropecuaria”, al gobierno boliviano en “Industrialización y políticas de desarrollo en el siglo XX” y en “Respuestas actuales y perspectivas de gestión”, y a organizaciones no gubernamentales y comunidades indígenas en los mismos últimos párrafos donde se describen iniciativas de restauración forestal y pagos por servicios ambientales."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"A partir de lo expuesto en el artículo, ¿cuál de las siguientes afirmaciones compara mejor el impacto de la expansión agropecuaria durante la colonización española con el de la expansión agrícola comercial del siglo XX sobre el aumento de la temperatura local?","El artículo indica que la expansión agrícola del siglo XX aceleró la deforestación (de 32 000 ha/año a 45 000 ha/ año entre 1990‑2020) y está vinculada a una disminución del flujo de calor latente (LE), lo que eleva la temperatura del aire. En cambio, la colonización española del siglo XVI provocó deforestación para minería y pastoreo, pero a una escala mucho menor y sin mencionar efectos directos sobre la temperatura; su impacto climático se describió como indirecto y menos pronunciado. Por lo tanto, la comparación que atribuye un mayor incremento térmico a la expansión agrícola del siglo XX es la que mejor refleja la información dispersa del texto."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Del análisis presentado se desprende que, al comparar el mecanismo de retroalimentación climática descrito para la pérdida de bosques con el papel de los sistemas agroforestales tradicionales, ¿cuál de las siguientes afirmaciones refleja con mayor precisión la diferencia clave entre ambos procesos?","Porque el texto indica que la deforestación disminuye el flujo de calor latente (LE) y, por tanto, eleva el calor sensible (H) y la temperatura del aire. En contraste, los sistemas agroforestales precolombinos combinaban cultivos con árboles, favoreciendo la conservación del suelo y la regulación hídrica, lo que implica una transpiración vegetal sostenida y un mayor LE, mitigando el aumento térmico."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"A partir de lo expuesto en el artículo, ¿qué principio general se puede extraer sobre las consecuencias sociales de la deforestación en los Andes bolivianos?","La deforestación reduce la capacidad de retención de agua y aumenta la vulnerabilidad de los suelos, lo que afecta directamente a las poblaciones locales que dependen de estos recursos. Además, se enfatiza que la restauración requiere la integración de saberes tradicionales y la participación activa de comunidades indígenas, lo que indica que la mitigación de los efectos sociales depende de estos factores."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"A partir de lo expuesto en el artículo, ¿qué efecto indirecto es probable que tenga la ampliación del programa Biodiversidad Andina (2020‑2024) sobre la vulnerabilidad de los sistemas agropecuarios locales frente a la variabilidad de precipitaciones?","La pérdida de bosque reduce la capacidad de retención de agua en el suelo, amplificando los efectos de la sequía. Asimismo, se menciona que el programa Biodiversidad Andina ha sembrado 3,5 millones de árboles nativos y que la integración de saberes tradicionales con tecnologías de monitoreo permite una gestión adaptativa que identifica zonas con mayor estrés hídrico. De manera implícita, la restauración forestal incrementa la retención de agua y modula el microclima, lo que debería reducir la vulnerabilidad de los sistemas agropecuarios ante la mayor variabilidad de precipitaciones."
